Product ID,Product,Category,Brands,Provider,Selling Price,MRP Price,Discount,Rating,Bought Count,Delivery Date,Product Image URL
88a04ddd-457c-43ac-a1ed-41e3cfe421ec,Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,Earbuds,Unknown,Flipkart,₹ 499.00,₹ 2999.00,0% off,3.8,39923,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/u/l/2/nb126-aster-v5-4-upto-50hr-playtime-45ms-latency-fast-charging-original-imahh4a8gzuurqzf.jpeg?q=70
c4e507c8-b975-4a44-b654-2b63377f1474,Caidea TWS7 Sufi V5.4 Upto 30Hrs Playtime* Type C Fast ...,Earbuds,Unknown,Flipkart,₹ 399.00,₹ 2399.00,0% off,3.6,1754,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/c/n/l/tws7-sufi-v5-4-upto-30hrs-playtime-type-c-fast-charging-heavy-original-imahj4myyvhhgwqd.jpeg?q=70
fc007ada-d8dc-480d-bdd7-dbe0071edbc6,"GOBOULT W45 with 50Hrs Battery Life, 4 Mic ENC, Ultra L...",Earbuds,Unknown,Flipkart,₹ 799.00,₹ 1999.00,0% off,4.1,97197,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/4/f/o/-original-imahe39knqcckh6j.jpeg?q=70
4f3ff5da-b5f0-4cdc-a613-2d6597c5ce99,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,Earbuds,Unknown,Flipkart,₹ 499.00,₹ 1299.00,0% off,3.5,110922,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/u/0/nb121-pods-upto-40-hours-playtime-type-c-fast-charging-dual-original-imahh4a72k7jbk2h.jpeg?q=70
752fdabb-b06e-46c9-9e2e-00826c6fca6b,"boAt Airdopes 161, Adv 4Mic ENx, 50H Battery,Fast Charg...",Earbuds,boAt,Flipkart,₹ 899.00,₹ 2999.00,0% off,4.0,1530080,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/c/1/z/-original-imahjrjh6zhhfxqv.jpeg?q=70
6dfb3a3c-03f7-4aca-832d-f37328595a04,Chaebol TWS Earbuds supports ENC mode fits comfortably ...,Earbuds,Unknown,Flipkart,₹ 492.00,₹ 2499.00,0% off,3.3,9,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/n/n/b/tws-earbuds-supports-enc-mode-fits-comfortably-clear-sound-and-original-imahggv4barprcdf.jpeg?q=70
c8576ace-8d33-4c8e-8223-734e100451f2,BULLSTORM BS ultrapood Bluetooth Gaming,Other,Unknown,Flipkart,₹ 298.00,₹ 2699.00,0% off,3.4,32695,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/r/9/bs-ultrapood-bullstorm-original-imahcus46hzumv9a.jpeg?q=70
cf51de0b-494a-48e9-88be-c8e5a39e4f44,myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,Earbuds,Unknown,Flipkart,₹ 300.00,₹ 1999.00,0% off,3.6,72713,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/m/7/b/new-edition-tws-m19-gaming-earbuds-bluetooth-5-0-wireless-led-original-imahk57ug9gyqrqg.jpeg?q=70
0fb23447-6c2c-4d5a-aa29-597617bf3ea8,"Noise Buds Play with BT v6.0, 13mm Driver, 40Hrs Playti...",Earbuds,Noise,Flipkart,₹ 999.00,₹ 2999.00,0% off,4.9,60,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/k/f/-original-imahkksfgjd3spzg.jpeg?q=70
9b8cfcfd-ece7-4c5a-8a24-cd4b00ca8712,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",Earbuds,Unknown,Flipkart,₹ 399.00,₹ 2999.00,0% off,3.7,19526,Not specified,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/p/1/v/tw500-tube-upto-50h-playtime-enc-fast-charging-dual-pairing-original-imahh6jxkzwhsu3g.jpeg?q=70
